Current Temp,Target Temp,CPU Freq,Automatic,Fan State 
45.277,61.0/63.0,1.5,True,False
47.712,61.0/63.0,0.6,True,False
48.686,61.0/63.0,0.6,True,False
49.173,61.0/63.0,0.6,True,False
50.634,61.0/63.0,0.6,True,False
51.608,61.0/63.0,0.6,True,False
52.095,61.0/63.0,0.6,True,False
53.069,61.0/63.0,0.6,True,False
53.069,61.0/63.0,0.6,True,False
53.069,61.0/63.0,0.6,True,False
53.556,61.0/63.0,0.6,True,False
54.043,61.0/63.0,0.6,True,False
54.043,61.0/63.0,0.6,True,False
54.043,61.0/63.0,0.6,True,False
54.53,61.0/63.0,0.6,True,False
55.017,61.0/63.0,0.6,True,False
55.017,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
54.53,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.017,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
57.452,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
57.452,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
57.452,61.0/63.0,0.6,True,False
55.017,61.0/63.0,0.6,True,False
64.757,61.0/63.0,1.5,True,True
62.809,61.0/63.0,1.5,True,True
61.835,61.0/63.0,1.5,True,True
60.861,61.0/63.0,1.5,True,False
61.348,61.0/63.0,1.5,True,True
60.374,61.0/63.0,1.5,True,False
64.27,61.0/63.0,1.5,True,True
60.861,61.0/63.0,1.5,True,False
61.348,61.0/63.0,1.5,True,True
63.296,61.0/63.0,1.5,True,True
60.861,61.0/63.0,1.5,True,False
61.835,61.0/63.0,1.5,True,False
62.809,61.0/63.0,1.5,True,True
62.809,61.0/63.0,1.5,True,True
53.069,61.0/63.0,0.6,True,False
53.556,61.0/63.0,0.6,True,False
54.043,61.0/63.0,0.6,True,False
55.017,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
55.991,61.0/63.0,0.6,True,False
55.504,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
57.939,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
57.452,61.0/63.0,0.6,True,False
57.939,61.0/63.0,0.6,True,False
57.452,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
57.452,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
57.452,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.478,61.0/63.0,0.6,True,False
56.965,61.0/63.0,0.6,True,False
